common_verified,சரிபார்க்கப்பட்டது
fields_document_verification_upload_driver_license_title,ஓட்டுநர் உரிமத்தைப் பதிவேற்றுக
fields_document_verification_upload_driver_license_message,உங்கள் டிரைவர் உரிமத்தை PDF வடிவத்தில் பதிவேற்றவும்.
fields_document_verification_upload_temp_driver_license_title,தற்காலிக ஓட்டுநர் உரிமத்தைப் பதிவேற்றுக
fields_document_verification_upload_temp_driver_license_message,உங்கள் தற்காலிக ஓட்டுநர் உரிமத்தை PDF வடிவத்தில் பதிவேற்றவும்.
fields_document_verification_upload_travel_visa_title,பயண விசாவை பதிவேற்றவும்
fields_document_verification_upload_travel_visa_message,உங்கள் பயண விசாவை PDF வடிவத்தில் பதிவேற்றவும்.
fields_document_verification_upload_passport_title,பாஸ்போர்ட்டை பதிவேற்றுக
fields_document_verification_upload_passport_message,உங்கள் பாஸ்போர்ட்டை PDF வடிவத்தில் பதிவேற்றவும்.
fields_document_verification_upload_citizenship_cert_title,குடியுரிமை சான்றிதழைப் பதிவேற்றுக
fields_document_verification_upload_citizenship_cert_message,உங்கள் குடியுரிமை சான்றிதழை PDF வடிவத்தில் பதிவேற்றவும்.
fields_document_verification_successfully_uploaded,உங்கள் ஆவணம் வெற்றிகரமாக பதிவேற்றப்பட்டது. எங்கள் ஆதரவு குழு அதை மதிப்பாய்வு செய்து அங்கீகரிக்க 24 மணிநேரம் ஆகலாம். இது செயலாக்கப்பட்டதும் நாங்கள் உங்களுக்கு அறிவிப்போம்.
fields_pin_to_address_title,முகவரிக்கு பாதுகாப்பு குறியீடு
fields_pin_to_address_message,"உங்கள் உண்மையான குடியிருப்பு முகவரியை சரிபார்க்க, உங்கள் ஐடியில் குறிப்பிடப்பட்டுள்ள முகவரிக்கு சிறப்பு பின் குறியீட்டைக் கொண்ட ஒரு கடிதத்தை அனுப்புவோம். இது வழங்கப்படுவதற்கு 4 நாட்கள் வரை ஆகலாம்."
fields_pin_to_address_sub_message,"நீங்கள் பின் குறியீட்டைப் பெற்றவுடன், நீங்கள் கோரிக்கையை அனுப்பிய பின் தோன்றும் புலத்தில் அதை உள்ளிடவும்."
fields_pin_to_address_pending_message,"கோப்பில் உள்ள உங்கள் முகவரிக்கு பாதுகாப்பு குறியீட்டைக் கொண்ட ஒரு இமெயிலை நாங்கள் உங்களுக்கு அனுப்பியுள்ளோம். நீங்கள் அதை {countDownValue} பெற வேண்டும். நீங்கள் அதைப் பெற்றதும், கீழே உள்ள குறியீட்டைச் சமர்ப்பிக்கவும்."
fields_pin_to_address_pending_message_time_expired,"கோப்பில் உள்ள உங்கள் முகவரிக்கு பாதுகாப்பு குறியீட்டைக் கொண்ட ஒரு மெயிலை நாங்கள் உங்களுக்கு அனுப்பியுள்ளோம். நீங்கள் அதைப் பெற்றதும், கீழே உள்ள குறியீட்டைச் சமர்ப்பிக்கவும்."
fields_pin_to_address_send_request,கோரிக்கையை அனுப்பவும்
fields_pin_to_address_request_received,உங்கள் கோரிக்கை பெறப்பட்டது!
fields_pin_to_address_letter_was_sent,உங்கள் முகவரிக்கு 6 இலக்க பின் (PIN ) உடன் ஒரு கடிதத்தை அனுப்புகிறோம்:
fields_pin_to_address_once_letter_received,"நீங்கள் அதைப் பெற்றவுடன், உங்கள் டாஷ்போர்டில் உள்ள இணைப்பைப் பயன்படுத்தி அல்லது நிலை 3 சரிபார்ப்பு மூலம் PIN ஐ உள்ளிடவும்."
fields_pin_to_address_pin_verified_title,உங்கள் சரிபார்ப்புக்கு நன்றி
fields_pin_to_address_pin_verified_message,உங்கள் செயல்பாடு வெற்றிகரமாக சரிபார்க்கப்பட்டது.
fields_pin_to_address_pin_code_txt_label,பாதுகாப்பு குறியீட்டை உள்ளிடவும்
fields_pin_to_address_submit_code,குறியீட்டைச் சமர்ப்பிக்கவும்
groups_personality_verification_title,ஆளுமை சரிபார்ப்பு
groups_personality_verification_message,"நிலை 3 சரிபார்ப்பை முடிக்க, உங்கள் அனுப்பும் வரம்புகளை அதிகரிக்க நாங்கள் உங்களிடமிருந்து சில கூடுதல் தகவல்களைப் பெற வேண்டும். எல்லா தரவும் புகைப்படங்களும் பாதுகாக்கப்படும், வேறு எந்த மூன்றாம் தரப்பு நிறுவனங்களுடனும் பகிரப்படாது."
groups_personality_verification_time,96 மணி நேரம் ஆகலாம்
groups_employment_verification_title,வேலை சரிபார்ப்பு
groups_employment_verification_message,"நிலை 3 சரிபார்ப்பை முடிக்க, உங்கள் அனுப்பும் வரம்புகளை அதிகரிக்க நாங்கள் உங்களிடமிருந்து சில கூடுதல் தகவல்களைப் பெற வேண்டும். எல்லா தரவும் புகைப்படங்களும் பாதுகாக்கப்படும், வேறு எந்த மூன்றாம் தரப்பு நிறுவனங்களுடனும் பகிரப்படாது."
groups_employment_verification_time,48 மணி நேரம் ஆகலாம்
groups_videocall_verification_title,வீடியோ அழைப்பு சரிபார்ப்பு வழியாக உங்கள் ஐடியை சரிபார்க்கவும்
groups_videocall_verification_message,"எங்கள் ஆதரவு முகவர்களில் ஒருவருடன் ஆன்லைன் வீடியோ அழைப்பு மூலம் உங்கள் நிலை 3 சரிபார்ப்பை முடிக்க முடியும். இந்த அழைப்புக்கு 10 நிமிடங்கள் ஆகலாம், மேலும் இணையம் மற்றும் கேமராவிற்கான உங்கள் அணுகல் தேவைப்படும். மேலும், சரிபார்ப்புக்கு உங்கள் ஐடி தயாராக உள்ளதா என்பதை உறுதிப்படுத்திக் கொள்ளுங்கள்."
groups_videocall_verification_time,உடனடி சரிபார்ப்பு
