common.verified,Verified
fields.pin_to_address.message,"To verify your real residential address, we will send a letter with the special PIN code to the address outlined on your ID. It may take up to 4 days before it will be delivered."
fields.pin_to_address.sub_message,"As soon as you'll get the PIN code, enter it in the field that will appear after you send the request."
fields.pin_to_address.pending_message,"We have sent you a mail with a security code to your address on file. You should receive it within {{countDownValue}}. Once you receive it, please submit the code below."
fields.pin_to_address.pending_message_time_expired,"We have sent you a mail with a security code to your address on file. Once you receive it, please submit the code below."
fields.pin_to_address.send_request,Send request
fields.pin_to_address.request_received,Your request was received!
fields.pin_to_address.letter_was_sent,We send a letter with a 6 digit PIN to your address:
fields.pin_to_address.once_letter_received,"As soon as you get it, please enter the PIN using the link on your dashboard or through the Level 3 verification."
fields.pin_to_address.pin_verified_title,Thank you for your verification
fields.pin_to_address.pin_verified_message,You pin was successfully verified.
fields.pin_to_address.pin_code_txt_label,Enter the security code
fields.pin_to_address.submit_code,Submit code
fields.pin_to_address.invalid_pin,Invalid PIN
groups.personality_verification.title,Personality verification
groups.personality_verification.message,"To complete a level 3 verification, and increase your sending limits we'll need to get some extra information from you. All the data and photos will be secured, and won't be shared with any other third party companies."
groups.personality_verification.time,May take up to 96 hours
groups.employment_verification.title,Employment verification
groups.employment_verification.message,"To complete a level 3 verification, and increase your sending limits we'll need to get some extra information from you. All the data and photos will be secured, and won't be shared with any other third party companies."
groups.employment_verification.time,May take up to 48 hours
groups.videocall_verification.title,Verify your ID via video call verification
groups.videocall_verification.message,"You can complete your level 3 verification through an online video call with one of our support agents. This call may take up to 10 minutes, and will require your access to the internet and camera. Also, make sure that you have your ID ready for the verification."
groups.videocall_verification.time,Instant verification
